고객번호,성별,연령대,투자성향,자산구간,주거래상품군,라이프스타일,서비스등급,총투자기간,주거래업종구분
64aae8dd71e5c0761000db9f9a6779e504e7a4aa9dc097067e5b41a971afa1da,1,4,99,1,2,3,3,6,16
5f7c3a8f37d9c268d06130ff0be5d32a1b9ef68c13049f804d2aae1393f76fa2,1,6,4,4,2,5,2,6,1
1119c23c3a504ca7b75060277410c0f6fb9018ec7638c226bfff4211d8a7bde6,2,7,4,3,2,5,5,6,9
6d497facfa1ea5901b827335553331f8555fec02a8184f6e839bd1c2a9f05076,2,6,4,4,8,5,3,6,16
b727c78d2cfc246c97b677f29a034399a0c7e7873fff4451fa3eada62295c420,1,5,2,2,2,5,5,5,16
4f330270cd37d758fbe9dfe45e0c40ed4579ab6b87a64871f3884381a54d1bec,1,5,3,4,2,5,4,6,10
407a1110ee9394a0d7778e13de9327117182a68e545372c5e06af79c9e2aa570,1,8,99,2,2,5,5,6,16
2c17850345fbac9b3f004773972fd72a716228b3896e6f274807126750bef99b,2,4,3,4,2,4,3,5,10
812f478747ca7497e60a6643ca82a6d5c7323980291a42f2f27247b74eab91f3,1,4,3,4,2,3,3,6,10
51c0d868a0d91c15a5eefdd68fbca1d1c5e3215fcebb332b7361238d14ef6b4d,1,5,5,3,2,7,3,6,5
127188207e133cd6361a6966376eea6183b31077a82bd3d26ad5afb54c5dc341,1,4,3,3,2,3,5,5,16
f6bfe08cc25c9583f61e0cb573a6f7a2593e8314732cb95d09e8697614694c2c,1,8,4,6,2,7,2,5,5
634c1db2c131ef2f3a404fb533fcda64fa517b0fbe931694e7c09a56bf4a7819,1,7,3,2,2,5,3,6,14
249201e1820bafc4e0b1eaa4d255588c7c109ba390611ccbe85b4fce354ae430,1,5,4,1,2,5,9,5,16
dbc7f1c8694e7a40827680f9d8b8538db774a134fa24bbceca746d64790aea70,1,7,3,3,2,5,3,5,2
5b6973bff9ab839507cf2f839b8b6d190d8ac2144fa5a4070050f281d3910b43,1,6,5,5,2,5,3,6,13
9190b0953de458aea95e2d38b623ba3c9e5785b3695d8cf60845e033ab37a01a,1,6,4,2,2,5,5,5,15
f2ef679da3d31ff7aa361f753793150a51e82049a5594149527aa8dfc693bf92,2,6,99,1,2,6,9,5,2
141aa640948a63ffa54747efda8272da47e2d8846ee02d9425eed05825f00a67,2,9,2,3,2,9,4,6,8
9ec37f3b747828f340de272ee3e06e3fee4a2cf9eba26a83ade07f65da82ce30,2,4,99,3,2,4,5,5,16
26dd1e72772128f6639abfa9056f39941b33949075c27c0c3f531bc0450bea7a,1,9,3,4,2,9,4,5,7
7a17368be2d52cf0c0bd1873748d09ebf416c437835ea13bdda6580ec898daf2,1,7,5,6,2,5,1,6,10
90ad0b4616a16f5e12d30edf79bec17993a9945dfe43bae47c88d3787e13935c,1,6,3,4,2,7,4,5,10
1c52768eebea2eab6a7ed8cc95d838a3732fc6dce51ba3de9bfb786d98e14d40,2,9,3,5,2,9,3,6,10
354e72d40ddf6245425489b47222dc931f1b97350c2b416a400cf685809c737a,2,5,4,2,2,5,5,5,16
39320d0a5c3dc1a965cce964ac10491a731792fd26933e71ef69e5bfc98de55d,2,8,2,5,2,6,3,5,5
a763dc6cd6db21bd301b7dd56d13d5019a6fd95fa5ff3874dc373977a6c091f3,1,7,4,2,2,5,4,6,6
1b059745900e932f1393b71260faa4de9020b52c69386006f79f906fe14f19a8,1,7,5,3,2,7,4,5,13
3b24afa5378a11134ff6b8f1d2fc4a0313e0c1e6090bc6478a5f32526603ba0f,1,9,4,6,2,9,2,6,4
4932d54890232be3d59b064a348e9dc510044d5526b99024cbf65cd7c87e997e,2,7,3,5,2,5,2,5,13
17586bfba8192872026f8876e596ad6b0438e645644546c9abbeda49f1ab5afb,1,6,3,4,2,5,3,5,10
ea2b382291737846f305d5cd995b725bbc426de928a2513c5796b5291b3fbbfa,1,2,3,2,2,2,4,5,16
607dc3c33af3b8e3db84edde47274d493b3929f3313f88baff0076f14a516992,1,6,1,2,2,6,5,5,10
69f826d4934add2288b33cc5a9b5b3a21792fdb7d1a00eac535f159feb447fa5,1,7,2,5,2,7,3,5,13
e130943d1ec526d2413fc77d0b15f2eeb614e6155b2b4673eda6f6899e63ac4e,1,5,99,5,2,5,3,6,9
9900339e23157b6897ffc2f4b50f3c9d2c8c96a39e9bfd0fb141d0337e364929,1,7,4,4,2,5,3,5,8
840a5151e2b6200593d08217f6c0cff30f72b72f4d56032f190856a37269077a,1,7,4,4,2,7,3,5,14
ffea89aa464a4fcf8a5416989d21deef4e748192ba17bf7cf5b79c72a8fd211d,1,4,5,6,2,3,2,5,16
d8e45495d5f18f1a25678fcd7da691ff11fdf25afd13f0e7f6fa9170df8f339f,1,5,5,4,2,5,4,5,16
dd9a6813c3afc897c1b98a8a7b7d4951031851fedfe365208e7d5a8bd2358e61,1,8,3,1,2,7,9,5,10
3614a1fc4af368e97b7b167d6c619557f592ea1723302bd7697b0e7f7d2f417d,1,7,3,4,2,7,4,5,16
1de2875f4484c13de1862c2223563505543b20e4a07d985d51f5384337d00a94,1,8,3,5,2,5,4,6,16
e7d033f716dd891734614c51728eda4f996f6ca20852a488a953a80e77dfdc11,1,6,3,2,2,5,5,4,1
8abafeb7d5ac212d62b75ae243dc9125476041c0e497b909a90a0214207e8fa8,2,7,5,5,11,5,3,5,14
73892b4455dc70bacadd1e0c331b0dfa5b8a4a1888bad3299bafdfdf78777f6f,2,4,3,4,3,4,3,4,16
8b2819e1f1420dfd5c9cf922f3624a42b089cee40fd03ae1eadf3a4ce5be88bb,2,4,99,3,2,4,4,6,6
a3afaf6b50978b80df396244c05979e022b036674b3e912d4f1a5ba0c3312e7a,2,7,99,6,2,8,2,4,16
5388931e1c21fe8952cdbe7d91444a06f3a724d5bd1bf0795e961473003a3675,2,6,99,1,2,5,9,3,12
dd47758beeac8b27ed9274bc382b130610adc4d817f2806b5cee0dc7914cd221,1,5,3,3,2,5,4,4,11
ecbf7f6bb0e5098a8f90b5d27d446e110ca5b9b185eb78501c51295cdf14215b,2,4,5,5,2,4,3,5,10
b7958d8e02d02b050a4213f12e6f8a2faaef0f94da3fd0b07fca5cc9dded29f4,2,7,2,2,2,8,4,4,5
14d50dba1b512de25fdbbe303b673e10516cc36a9ef5bc9e5d9ee8d1b88c7905,1,3,4,1,2,3,9,4,10
e01cc25a205d8119d9650b84f1ad56577b4d900604182dde75f20fb999afe8c5,2,2,4,1,2,2,4,2,2
59a06faec35beee2738416a62eb131d300f9c2e9fb2e7cfc493c5429be4c9d88,1,6,99,4,2,5,4,4,16
3075838671c0067af6155d33acd2f78630564e428dcf38a3bf9927350f560eb4,2,7,99,6,2,8,2,4,16
236fdb90eb9d2acd96092a1e67b8d9baa459e237d6de69331112c7919d1060fd,1,8,5,6,2,7,2,4,12
491783c1b5e5bcb2bb3119b960e1f037b156809dfd5624eb2cd96030b8e539d6,2,3,2,1,2,4,9,4,9
92003d438089b92c12012ba7e4dacfd7edaead06e0ae3402fb45a430f9057f80,1,4,5,1,2,3,9,4,16
d8f6d822453dced8b26e98e058eebf2315158e87232011bf46fd4bb7d9a8f488,1,4,4,6,2,3,2,4,16
0d6474491e5945737273f58e2722e46fc198ada94ab1bec24d81a87af1c37743,1,3,4,4,2,3,4,4,13
7da5645f7ee3a62a86e04b1de20214c549db9bb8745c7e7b936c11efcdaccfb3,1,3,5,2,3,3,9,1,9
25ffb517109397e24cc127d4c6203bb0e81471c28b2a3dfdf83a1013bfd0e828,1,8,3,2,2,5,5,4,10
aeb945e1d4ae9f6b854bde18b7653664c1238a439319fbf2bd668fc036c77bb6,1,5,4,5,2,5,3,4,10
65646013c139b5d16e49943d24c6f8e2c234726637010fcf22833676250e1cab,1,5,99,1,2,5,4,4,10
d55b82359e5f35c7b5247293cd0d7bff0af38cb4c56e2fbce66482a64ecb880c,1,5,3,2,2,7,4,5,2
72be2b7f8f134fd8eef6df1f04b6b3d72ee8a32642cd226e7f24715055517b5f,1,5,3,3,2,5,4,4,9
c67664bcd2751b3bcf887083f0495a097f856313c1897032990b4ac9284f3573,1,4,4,5,2,3,3,5,10
9243f0259c2bb8857ee472255d45a087e88a056ad5055cb5438f9fe2770b6398,1,5,4,3,2,5,3,3,10
29f820c23a64a07122471d8f0c3628a8b9275217575dc900d94e758c5614a87b,2,3,99,1,2,4,9,2,6
89031fe9ff0e59d141036d03f57445e8c7fbbca9dbf03bb63b6950c0c7a4c1ce,2,3,3,2,2,4,9,3,2
3ef68867086e0f7a30b7b80b8ca05561fc511dd7e571448a0b30e74695b9cea7,1,5,99,2,2,5,5,2,5
90dc50e9a7363bd5e5576802c1b49ec620590b6c6cb27879bd7908735403924a,1,4,5,2,2,3,5,2,13
77c0b012b37b39c0e67a13deb9110620914d23a90288d86810694c144f750ee3,1,7,4,1,2,5,5,4,10
414c7662bb43bb5bea442f2a0b4f54baf61283f2ef90b77500b5613e13b03e83,1,5,5,4,2,5,4,5,9
3500f08ded57fe77302941f1b4418371216bd04c2ac3fd1da5eb5775fad1f01e,1,7,99,4,2,5,4,4,10
5411b8fb4982077f5291fe557abd7508f22e8be8cc94bf857bb37559968c277b,2,3,5,2,2,4,9,1,13
b6bd1c8ef239af3b6daa258ad27b60c3b80cbee71ea8b120002445731c55be38,2,5,99,1,2,5,9,2,6
3f13c9bb0d3ed4a2b424ff41436e4d45b3c1c9b759d4c0ecf15f3999988fe872,1,3,4,2,2,3,3,4,14
4a5d2c62065042e4ddace69c15dd2a6a0af85bafc3ab4fcbe5b228bd7644c7bd,1,7,4,2,2,5,5,3,16
34fbd10eaa8e097872f14414b26ddbd51a5aac2e9df86c0fc2e95e408ec6802b,2,5,4,1,2,5,9,2,10
6fb2abbf6d92c91b0bd92057bac61b921273a848f82bfb93c772964b4932dd8f,1,4,4,1,2,3,9,4,16
565ba29aff0decb6cbcd7880d7122e22166c966067595d761c643f027e5cf9cc,1,4,3,3,2,3,4,4,6
7cb1be74a806556e937c079e7f96cc8b7d77d7f9d3f1319bbef6e537638b31f1,1,7,99,2,2,5,5,3,16
924363cefa09afdaab9f09a34756e7ac55c0d6bd52e6dca8b7ae4f7edcf4bb32,1,5,4,3,2,5,5,4,10
365f4d252a60719b906ae24f173b4b25553b33132c573752fa3a436800a2108c,2,8,4,2,2,6,5,2,14
b526146a4218f21a85808b57f1eb39662047e60b62de3beb6750f2510dc59311,2,5,99,2,2,5,5,2,12
6f74df16fd3a8f3f7dcb031b5a3615acdbaba784bb71357e2659b37a07849527,2,7,2,3,2,5,3,4,15
1f4e32f2fde0fe1537a0fe51efe1428b2344a6569c2b4aa3bb52c4d8bbf102fb,2,3,4,2,2,4,9,1,10
a8d26a1c0194a3b7f1c83922cf1807d832ffd2124222ba92d28442a7473ff0a0,1,6,4,3,2,5,5,3,9
