개봉년도,제목,요약,줄거리,장르,국내외,감독,배우,포스터
2021,"2021 스웨그 에이지 : 외쳐, 조선!",‘시조’가 국가의 이념인 상상 속의 ‘조선’,"삶의 고단함과 역경을 시조 속에 담아 훌훌 털어버렸던 백성들은 역모 사건으로 시조 활동이 금지되면서 자유도 행복도 잊은 채 살아간다.그러던 중 15년 만에 누구나 참여할 수 있는 조선시조자랑이 열리게 되고, 탈 속에 정체를 감추고 양반들의 악행을 파헤쳐 행복한 세상을 만들고자 조직된 비밀시조단 ‘골빈당’은 이것을 기회 삼아 조선에 새로운 바람을 불러일으키고자 한다.한편, 왕의 비선실세이자 시조대판서인 홍국은 자신에 대한 악덕한 소문을 퍼트리고 다닌다는 이유를 들어 골빈당을 잡으려는 음모를 꾸미는데…","공연실황, 뮤지컬",1.0,"우진하, 곽기영","양희준, 김수하",https://movie-phinf.pstatic.net/20210518_136/1621304680600y6Owj_JPEG/movie_image.jpg?type=m203_290_2
2021,2067,“반드시 구해낼 것이다”,"지구 종말이 도래하고, 산소가 중요한 화폐가 된 서기 2067년.‘타임머신’이라고 불리는 일명 ‘크로니컬’이 발명되고,407년 뒤, 2474년 미래에서 보낸 메시지가 도착한다.인류의 마지막 희망, 미래를 구해야만 한다",SF,0.0,세스 라니,"코디 스밋 맥피, 라이언 콴튼",https://movie-phinf.pstatic.net/20210513_298/1620868327998joC5k_JPEG/movie_image.jpg?type=m203_290_2
2021,438일,"스웨덴의 두 탐사보도전문기자의 실화!
자유의 억압에 저항한 438일의 기록!","2011년 6월 28일 밤 스웨덴 기자 마틴과 요한은 소말리아에서 에티오피아로 불법 입국한다. 수개월에 걸친 탐사취재 끝에 마침내 석유전쟁에 의한 오가덴 지역 주민 피해의 실체를 밝히려던 순간,에티오피아 군대에 의해 테러협의로 붙잡혀 징역 11년형을 선고받는데…스웨덴 기자 마틴 시뷔에와 요한 페르손의 악몽 같은 실화",드라마,0.0,예스퍼 갠스란트,"구스타프 스카스가드, 마티아스 바레라",https://movie-phinf.pstatic.net/20210113_198/1610522770004Smun6_JPEG/movie_image.jpg?type=m203_290_2
2021,BBC프롬스: 거슈윈 영화 음악 콘서트,할리우드 전성기 뮤지컬 영화 속 거슈윈의 명작을 스크린에서!,"대중음악 역사상 가장 위대한 작곡가로 평가받는 조지 거슈윈의 영화 음악 콘서트 실황이다. 오드리 헵번 주연의 부터 최근 리메이크되어 큰 사랑을 받은 의 첫 번째 리메이크작까지, 1930년대-1950년대 할리우드 전성기의 작품 중 가장 음악성 높은 영화의 삽입곡이 차례로 연주된다.웨스트엔드 최고의 뮤지컬 스타 3인방 루이즈 디어맨, 매튜 포드, 줄리안 오벤든(다운튼 애비 출연)이 무대에 함께 오른다. 여기에 음악평론가 배순탁 작가의 해설이 더해져 더욱 깊은 감상을 돕는다.",공연실황,0.0,존 윌슨,"[국내] 
						
							전체 관람가",https://movie-phinf.pstatic.net/20210325_171/1616659126999wDqP6_JPEG/movie_image.jpg?type=m203_290_2
2021,F20,나의 삶은 모든 것이 완벽했다,"어디에 내놔도 자랑스러운 아들을 둔 엄마 ‘애란’은군 생활을 떠났던 아들 ‘도훈’에게조현병이 발병했다는 충격적인 소식을 듣게 된다.완벽했던 자신의 일상을 빼앗길까 두려운 ‘애란’은아들의 병을 숨긴 채 살아가기로 결심하고그러나, 순조로울 것만 같았던 그녀의 삶에유일한 비밀을 알고 있는 ‘경화’가 나타나자‘애란’의 불안은 점점 광기로 변해가는데…가장 날카롭고 충격적인 영화가 온다!",스릴러,1.0,홍은미,"장영남, 김정영, 김강민",https://movie-phinf.pstatic.net/20210928_86/16327951839736fzkS_JPEG/movie_image.jpg?type=m203_290_2
2021,UFO 스케치,UFO 보다 흥미로운 UFO 전문가 이야기,"한 번도 본 적 없는 UFO를 반평생 연구해온 자타공인 국내 UFO 전문가 맹성렬 교수와열정 가득 UFO 목격자들의 순수한 호기심 기행내일은, 만날 수 있을까요?",다큐멘터리,1.0,김진욱,"맹성렬, 임병선, 장호동",https://movie-phinf.pstatic.net/20210225_292/1614228206718j9AkY_JPEG/movie_image.jpg?type=m203_290_2
2021,UFO는 살아있다: 아폴로 11호의 비밀,"21세기 인류 최대의 미스터리 'UFO' 
전 세계를 속인 NASA의 진실을 파헤친다!","달 탐사, UFO, 외계인의 존재 등몇 년 간 NASA를 향해 제기되는 음모론은 끊이지 않았다.그러나 어느 날 기밀 정보를 공개용 문건에 포함시킨NASA의 작은 실수로 인해그들의 문서 조작 사실이 확인 되는데...미 공군 소령의 증언부터 우주비행사들의 녹취록까지,모든 증거가 이 안에 있다!","다큐멘터리, 미스터리",0.0,다시 위어,스탠튼 T. 프리드만,https://movie-phinf.pstatic.net/20210629_22/16249543862113DqRR_JPEG/movie_image.jpg?type=m203_290_2
2021,"2021 스웨그 에이지 : 외쳐, 조선!",‘시조’가 국가의 이념인 상상 속의 ‘조선’,"삶의 고단함과 역경을 시조 속에 담아 훌훌 털어버렸던 백성들은 역모 사건으로 시조 활동이 금지되면서 자유도 행복도 잊은 채 살아간다.그러던 중 15년 만에 누구나 참여할 수 있는 조선시조자랑이 열리게 되고, 탈 속에 정체를 감추고 양반들의 악행을 파헤쳐 행복한 세상을 만들고자 조직된 비밀시조단 ‘골빈당’은 이것을 기회 삼아 조선에 새로운 바람을 불러일으키고자 한다.한편, 왕의 비선실세이자 시조대판서인 홍국은 자신에 대한 악덕한 소문을 퍼트리고 다닌다는 이유를 들어 골빈당을 잡으려는 음모를 꾸미는데…","공연실황, 뮤지컬",1.0,"우진하, 곽기영","양희준, 김수하",https://movie-phinf.pstatic.net/20210518_136/1621304680600y6Owj_JPEG/movie_image.jpg?type=m203_290_2
2021,2067,“반드시 구해낼 것이다”,"지구 종말이 도래하고, 산소가 중요한 화폐가 된 서기 2067년.‘타임머신’이라고 불리는 일명 ‘크로니컬’이 발명되고,407년 뒤, 2474년 미래에서 보낸 메시지가 도착한다.인류의 마지막 희망, 미래를 구해야만 한다",SF,0.0,세스 라니,"코디 스밋 맥피, 라이언 콴튼",https://movie-phinf.pstatic.net/20210513_298/1620868327998joC5k_JPEG/movie_image.jpg?type=m203_290_2
2021,438일,"스웨덴의 두 탐사보도전문기자의 실화!
자유의 억압에 저항한 438일의 기록!","2011년 6월 28일 밤 스웨덴 기자 마틴과 요한은 소말리아에서 에티오피아로 불법 입국한다. 수개월에 걸친 탐사취재 끝에 마침내 석유전쟁에 의한 오가덴 지역 주민 피해의 실체를 밝히려던 순간,에티오피아 군대에 의해 테러협의로 붙잡혀 징역 11년형을 선고받는데…스웨덴 기자 마틴 시뷔에와 요한 페르손의 악몽 같은 실화",드라마,0.0,예스퍼 갠스란트,"구스타프 스카스가드, 마티아스 바레라",https://movie-phinf.pstatic.net/20210113_198/1610522770004Smun6_JPEG/movie_image.jpg?type=m203_290_2
