date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:26	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2006:26:27%20GMT	http://html-templates.multipurposethemes.com/robots.txt		(from )
10:45:27	59416/59416	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2013:10:21%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/index.html	(from )
10:45:28	178152/178152	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Mar%202018%2020:34:42%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/assets/vendor_components/bootstrap/dist/css/bootstrap.css	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/assets/vendor_components/bootstrap/dist/css/bootstrap.css	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:31	236109/236109	---M--	200	added ('OK')	text/css	date:Wed,%2002%20May%202018%2013:10:22%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/css/bootstrap-extend.css	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/css/bootstrap-extend.css	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:34	55582/55582	---M--	200	added ('OK')	text/css	date:Wed,%2002%20May%202018%2013:10:21%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/css/skins/_all-skins.css	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/css/skins/_all-skins.css	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:34	329179/329179	---M--	200	added ('OK')	text/css	date:Wed,%2002%20May%202018%2013:11:11%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/css/master_style.css	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/css/master_style.css	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:35	59416/59416	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2013:10:21%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/index.html	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/index-2.html	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:35	33520/33520	---MCZ	200	added ('OK')	text/css	etag:W/%228821-5d9f1078-2551b231a4fdb384;gz%22	https://www.amcharts.com/lib/3/plugins/export/export.css	C:/2021_ASIA_NLP/asia/www.amcharts.com/lib/3/plugins/export/export.css	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:36	15501/15501	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Mar%202018%2005:31:07%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/images/logo-light.png	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/images/logo-light.png	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
10:45:37	15085/15085	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Mar%202018%2005:31:05%20GMT	http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/images/logo-dark.png	C:/2021_ASIA_NLP/asia/html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/images/logo-dark.png	(from http://html-templates.multipurposethemes.com/bootstrap-4/admin/unique/02/unique-admin/crypto-dashboard/)
