title,score,review
듄,1,재미가 없어도 너무없어요..
악마를 보았다,10,연기 분위기 그때도 충격이였엉
악인전,10,최고다진짜대박 마동석
7광구,1,감독님 진짜 영화가지고 뭐라고 안하는데 찍은 작품 전부다 컨셉이 일정하신거같아요 약간 상업영화 바지 감독느낌... 억지 감동 억지 웃음.. 억지 CG하...
듄,2,너무 고급져서 저 같은 송사리 입맛에는 많이 버겁네유
듄,10,"와이프는 옆에서 졸았지만,  난  재밌게 봤음~  2탄이 기대가 됩니다!"
라스트 듀얼: 최후의 결투,10,왕이 무능해 보이지만 유능했다.
듄,10,"스타워즈 이후로 진지하고 거대한 SF 서사물이 나와서 기쁩니다. 마블 시리즈도 방대하지만, 다소 가벼운 느낌이 많아 아쉬웠는데, 앞으로 듄이 이를 충족시켜주면 좋겠습니다."
듄,10,가슴이 웅장해지는 영화였다...
듄,10,재미있어요.추천합니다.파트2가 기대됨
용과 주근깨 공주,7,어딘가 부족한 스토리를 매꿔주는 아름다운 영상미. 스토리에 고개를 젓다가도 화려한 영상과 사운드에 빠져든다.
듄,10,소설을 읽지 않고 봤는데 초반에 이해가 조금 어려웠지만 영상미와 OST가 최고인 영화였습니다~^^ 강추~~!!!
듄,9,애초에 때려부수는 영화는 안좋아해서 드니 빌뇌브 감독의 적막하고 우아한 sf 느낌이 너무 좋음. 컨택트처럼.
라스트 듀얼: 최후의 결투,10,추천해요. 배우들 연기가 너무 좋았어요.
크롤,6,"지하실에 갇힌 주인공의 어글 덕분에 무고한 사람들이 죽어나가며, 저체온증은 무시하고 오로지 악어만 조심하면 되는 속 편한 스릴러."
라스트 듀얼: 최후의 결투,10,이런 장르 좋아하는것도 아닌데 너무나 기대이상이었어요
존 카터: 바숨 전쟁의 서막,10,왜 평점이 낮은지 몰르겠다 처음 TV에서 방영하던걸 보다가 다시 인터넷으로 찾아보고 또보고 또보는데 정말 너무 재미있다 다음편이 정말 꼭 나왓으면 하는바램이다 TV판도 좋지 ㅎㅎ
건축학개론,10,모두가 잊어버린 누구나 가지고 잇을법한 사랑의 아련한 기억들 연기 영상미 음악 93~94년 즈음의 소재들 모두가 완벽하게 조화롭습니다 너무 달고 쓴 저 둘의 썸 매년 가을 나의 인생영화
더 포가튼 배틀,10,2시간이 전혀 아깝지 않았다
듄,2,줄거리가 몬지도 모르겠고 알고 싶지도 않고 평점에는 알바들만 판을치고 졸립고 알수 없는 내용들의 연속이고 보다가 보다가 졸려서 나왔습니다절대 비추 합니다
듄,2,유치한 중이병 영화 .. 확실히 영국이나 헐리웃 영화는 이제 도저히 못 봐주겠다.
내 깡패 같은 애인,6,어설픈 신파가 없는 잔잔한 재미
라스트 듀얼: 최후의 결투,6,리들리 스콧의 중세판 라쇼몽
추억의 마니,10,처음에는 뭐지 라는 마음으로 봤는데 나중 갈 수록 그 비밀들을 알고 나니 무언가 마음이 엄청 깊게 남는 영화였어요~정말 한번쯤 보면 좋은 영화라고 생각하고 이 영화를 왜 이제서 봤는지.. 그래서 저는 이 영화를 다른 분들이 빨리 봤으면 좋겠어요!!!! 결론은 스토리도 좋고 마음에 깊게 찡함이 남아요!!!!
듄,4,앞부분에 보다 잤다...하..이유명하고 연기잘하는배우들을 두고   보다가지루하고 이해도안가고 전달하려는의미도모르겠고 진심후회햇음
나의 특별한 형제,10,정말 재밌어요 ㅋㅋ 웃기기도 하고 슬프기도 하고 눈물을 흘리게 하는 감동이 정말 많이 들게 하는 영화였습니다~
걸캅스,1,최악임 평점 극혐이네 ㅠㅠ
아내를 죽였다,8,스토리나 연기가 생각보다 좋았어요
듄,10,소설을 영화로 모두 옴겨났네요 제밌음
더 테러 라이브,10,숨은 꿀잼 영화... 명작이라 하기엔 뭐하지만... 진짜 킬링타임으로 최고인 영화....
내일의 기억,8,김강우 마지막에 눈물 글썽이는 거 너무 슬프다..
그는 당신에게 반하지 않았다,10,너무 재밌네요지지때문에 공감성수치심으로 조금 힘들긴하지만ㅋㅋ
라스트 듀얼: 최후의 결투,2,진짜 재미없다. 최악의 영화임.
용과 주근깨 공주,5,"아픔이 있는 주인공, 정말 아름다운 뮤직비디오들을 먼저 만들고 나머지 모든 부분은 누더기처럼 기워붙인 느낌이라서 중반부 이후로 계속 불편했어요. 영상미와 OST는 최근 영화중에선 최고였어요. 눈과 귀는 즐거운데 뇌는 즐겁지 못한, 영화관 밖에서 보면 여주 노래, 현실의 멋진 풍경 부분만 골라서 보고 치워버릴 것 같은 영화."
인터스텔라,7,시공간을 초월하는 장면들은 흥미로웠다.. 근데 평점 9점 넘을 정도인지는 모르겠다.. 정작 미국에선 평점 그 정도론 안 높은데 이상하게 한중일 이런 나라들에서 평점 엄청 높은 영화.. 사대주의 하기 딱 좋은 영화인 듯 싶다
"그날, 바다",10,진짜 진심으로 이런 영화 만들어주셔서 감사합니다.
듄,2,너무 지루합니다... 도중에 나가는사람 봄
듄,1,개ㅆㄹㄱ에요 방금 영화관에서 보고왔는데 진짜...뭔지도 모르고 신랑이 보자그래서 봤는데 돈아깝고 시간아깝고..중간에 나갈라다가 돈아까워서 참고봤어요. 보다가 그냥나가는 사람도 많았어요.계속 시계만보고ㅡㅡ 어거지로봤네요 무슨내용인지도 모르겠고 ㅡㅡ임팩트도 없고...참... 보면 아실거에요....
듄,6,
듄,10,이건 시작에 불과하다.. 다음 편을 위한 첫 걸음일 뿐.. 다음 편이 기대가 되는 영화였어요
듄,10,파트 2 언제 나옴???
베놈 2: 렛 데어 비 카니지,9,스토리와 무관하게 연출이 미쳤어요전투씬 지려요
듄,2,이런 쓸데없는 영화보지마세요아무 철학도 메세지도 액션도 재미도 킬링타임도 아무것도 아닙니다 제발 여러분의 즐거운 인생을 낭비하지 마세요
듄,1,"주말에 누워만 있기 싫어서  영화보러 갔는데, 걍 집에서 잘걸 그랬다... 영화가 지루해서 잠만 자다왔다"
듄,10,간만에 대작에 탄탄한 스토리의 영화를 봤습니다앞으로의 시리즈가 기대됩니다영상미와 사운드를 즐기시려면 영화관에서 보시길집에선 이정도 감동은 안올듯 합니다.
듄,2,최악으로 핵노잼 저랑 제친구들 다 잠 이정도 영상미로 이정도 스케일로 이정도 스토리 만드는게 대단
듄,4,기대치가 높았나보다.2시간이 넘는 사간을 꽉 채워줄거라고 기대했건만.스타워즈의 그림자를 벗어나지 못했다.2편을 과연 제작할수 있을까.
용과 주근깨 공주,9,"스토리가 살짝 뒤죽박죽인 느낌은 있으나, 기승전결 자체는 다 존재하고 있고, 결과적으로 스토리부분의 부족함을 영상미와 OST로 메꿔버린 느낌입니다. 이전작 두개가 좀 밋밋했던걸 생각하면 많은 발전을 했다고 생각."
빌리 엘리어트,10,금요일에  뮤지컬을 보고 왔는데 영화랑 다르게 정말 액션 넘치고 연기도 잘하고 어린애들이 정말 힘들게 연습했을 것이라고 생각했다.그리고 정말 재미있었다 또 보고 샆다는 생각이 정말 많이 들었다
듄,9,
프로메테우스,10,쉴 새 없이 자극적인 연출 없으면 징징대는 잼민이들이랑 영화가 마누라 대신 킬링타임 해주길 바라는 노땅들 거르고 우주 SF물 좋아하는 사람들이라면 추천. 에이리언 시리즈에 입문하게 된 수작.프로메테우스 먼저 보시고 에이리언 커버넌트 보면 내용 이어집니다.
기적,10,연기력 감정 스토리 모두모두 좋았어요 덕분에 행복했던 시간이었습니다^^
다세포 소녀,1,개 망작. 물론 보진 않았습니다.
듄,6,"큰 스캐일, 뛰어난 연출, 노래 말고는 볼게없는영화"
라이언,10,
듄,6,먼 미래에서 칼로만 싸우는 사무라이 전사들의 대서사시
다운사이징,2,이럴거면 그냥 다큐를 찍으시지
듄,7,자신의 역할을 충실히한 2.5시간짜리 예고편
보이스,2,"영화 보신 분들 진짜 재미있어요?지인 중 2명이 재미있다고 극찬을 해서 봤는데 절교할겁니다.너무 비현실적인 설정, 매력없는 캐릭터보이스피싱 예방 교육용 영상 본 기분..."
듄,10,극단적 평은 거르는게 좋음
노회찬6411,9,국민을 위해 헌신한 사람 노  회   찬
듄,6,끝까지 개진지 웃고싶었다
듄,10,화려한 액션 영화 좋아하는데 그보다 더 몰입감 넘침 1편전체가 2편을 위한 엄청난 빌드업이라서 딱히 내용도 없고 엄청난 액션도 없는데 너무 재밌었음 오묘한 영화....마스크쓰고봐서 그런가 사막속에 있는줄..다만 같이 본 사람들은 다 너무 재미없다고ㅋㅋㅋ호불호 엄청갈리는 영화인건 맞는듯
반도,6,"스케일은 한국영화치고 좋지만 , 감흥이나 감동이라곤 1도없는 망할 신파극..거지같은 시나리오. 걍 볼만은하다"
듄,1,감독님 이제 고만 은퇴합시더...
싱크홀,1,재난영화는 긴박함 스릴 이런게 있어야하는데 그런거 아예 없음 ㅋㅋㅋ 재난영화 보면서졸린적은 첨이네 진짜
베놈 2: 렛 데어 비 카니지,6,톰하디에 대한 의리로 봄
수색자,2,개연성도 없고 지루하고 말도 안되는 스토리 전개.3류 영화입니다.
미스비헤이비어,10,
라스트 듀얼: 최후의 결투,10,연기.. 스토리..몰입감.. 뭐 하나 흠 잡을 곳이 없는 듯... 역시 거장은 다르다;
그 여자 작사 그 남자 작곡,10,로맨스 코미디 영화중 내가 널 사랑할 수 없는 10가지랑 같이 유일하게 재밌게 본 영화
라스트 듀얼: 최후의 결투,10,스토리 구성. 전개와 모든 배우들 연기 정말 대단..
듄,10,최고입니다 꼭 아이맥스로
듄,10,웅장하고 거대하다진지한 SF판 왕좌의 게임같은
그래비티,10,마지막 두발로 일어서는 장면에서는 감동 그자체
라스트 듀얼: 최후의 결투,10,시간 순삭 영화였습니다 진심으로 강력추천합니다
베놈 2: 렛 데어 비 카니지,8,넘 빨리 끝남 그냥 휙휙 지나간 장면들이 넘 많음
듄,10,장엄한 세계관과 무겁고 절제된 연출. 심상치 않은 체험을 했습니다.
더 길티,6,급발진좌와 착한 친구들더 발작
극장판 바이올렛 에버가든,10,와 마지막에 바다에 뛰어들어서 재회하는장면보고 울뻔했습니다 ㄹㅇ 바이올렛 이제 소령님이랑 행복하게살아ㅜㅜ
라스트 듀얼: 최후의 결투,10,최고의 작품을 감상했습니다
라스트 듀얼: 최후의 결투,10,예전이나 현재나 진실을 밝히는 것은 쉬운 일이 아니지...
암살,10,
듄,6,차라리 시카리오!!!
남남북녀,2,와....조인성 연기인생중에 ...햐마이 아쉽슴다...
듄,2,1시간 넘게 뭔가 이렇다할 전개가 없어요. 지루해 죽을뻔.. 도저히 못보겠어서 포기함..지들끼리만 심각하고 소리만 겁나커서 귀아픔.
듄,10,에스에프 오페라의 새 장르
베놈 2: 렛 데어 비 카니지,10,잘만듬 이이얌 의미한다
혼자 사는 사람들,6,난 뭔가 우울하게 봤다... 기분이 급 따운된다~연기는 잘하더라~
모가디슈,10,시간이 금방 갔어요. 꼭 보세요!
라스트 듀얼: 최후의 결투,10,갠적으로 좋아하는 배우들이 많이 나와서 좋았어요ㅎㅎㅎ
라스트 듀얼: 최후의 결투,10,배우들의 연기가 굉장히 좋습니다 시간 되면 한번 더 보려구요^^
베놈 2: 렛 데어 비 카니지,2,무슨영화를 학교과제 개하기 싫은 숙제풀듯이 만들어놓음ㅋㅋㅋ
듄,5,엄청 재밌지는 않고 영상미가 좋았습니다. 원작소설이 미완성이라더고요.감독이 2부작으로 만든다고 했으니 원작과 달리 2부에서 마무리를 짓지 않을까 싶습니다.
8 마일,8,음악영화는 음악의 공연성과 연출만 제대로 뒷받침 되어도 영화적 가치를 뛰어넘는 쾌감을 느끼게 해준다.
베놈 2: 렛 데어 비 카니지,10,나만 당할수는 없지.. 꼭보셈..제발
스파이더맨,10,솔직히 홀랜드보다 토비가 낫다
듄,4,개노잼 개지루함 2시간30분이 너무 김
예스터데이,2,가족들과 같이 봤는데 너무 야한장면이 많아서 조금 민망했고 음악은 안하고 왜 이상한것만 보여주시는지..
쇼미더고스트,1,초등학생이 핸드폰으로 찍은 영화.한승연만 예쁨
라스트 듀얼: 최후의 결투,10,오랜만에 생각하게 되는 영화...
라스트 듀얼: 최후의 결투,10,맷 데이먼의 연기에 푹 빠져서 봤습니다 조디코머 아담드라이버 연기도 최고였어요
인턴,10,"로버트 드 니로가 연기한 벤은 모든 직장인들의 멘토가 아닌가라는 생각이 들었고, 저 역시도 저렇게 되고 싶네요. 단순히 나이만 들었다고 해서 대우를 받는게 아니라 진심으로 존경받는 어른이 어떤 모습인지 알게 되었습니다."
라스트 듀얼: 최후의 결투,10,마지막 치열한전투때는 진짜 숨도못쉼
듄,10,빨리 2편을 보고 싶어요..기대가 되요
베놈 2: 렛 데어 비 카니지,2,돈받고 봐도 후회할 상영물
