날짜,시가,고가,저가,종가,거래량,거래대금
2015-01-02,243.96,245.32,243.25,244.79,54153879,2146860296567
2015-01-05,243.83,244.56,241.76,244.26,62845108,2622821317695
2015-01-06,241.36,242.06,239.32,239.93,66249937,2992594273218
2015-01-07,239.41,240.91,239.09,240.53,54599968,2610334705312
2015-01-08,242.28,244.13,241.68,243.94,64021136,3155894203006
2015-01-09,245.97,247.11,245.4,246.05,65125468,2936280975193
2015-01-12,245.16,246.27,245.05,245.7,64517194,2335661828492
2015-01-13,244.98,246.64,244.47,246.29,59912830,3273254269891
2015-01-14,246.48,247.46,245.78,245.99,70777826,3370237565166
2015-01-15,245.96,246.63,244.9,245.76,59449702,2821400282219
2015-01-16,244.7,244.7,241.77,242.22,73306353,2976312996030
2015-01-19,244.06,245.82,243.69,244.78,63223607,2502405834400
2015-01-20,245.52,247.39,245.5,247.24,55117429,2500367006282
2015-01-21,247.01,248.59,246.63,248.59,64991528,2993529121729
2015-01-22,249.22,249.98,248.01,248.47,76606527,3351549912661
2015-01-23,251.76,251.8,249.55,250.32,78373654,3484372408133
2015-01-26,248.92,250.21,248.42,250.14,62741687,2850568675437
2015-01-27,250.76,252.2,250.56,252.2,85047883,3436705005231
2015-01-28,250.82,252.5,250.12,252.21,85186518,3796038805041
2015-01-29,250.45,251.84,249.78,250.46,83370835,3959044980249
2015-01-30,251.82,251.84,249.88,249.88,93066184,4409458773272
2015-02-02,249.83,251.2,249.49,250.61,76488024,3157527300937
2015-02-03,251.63,251.66,249.22,250.38,79093848,3360480447233
2015-02-04,251.98,253.07,251.6,251.6,78229154,3737134751982
2015-02-05,251.33,251.42,248.9,249.78,69969310,2900430013397
2015-02-06,249.89,250.16,248.68,250.16,76076254,4765844932235
2015-02-09,249.05,249.94,248.58,249.26,64832394,3097916237955
2015-02-10,249.62,250.42,247.66,247.66,62808141,2959997343700
2015-02-11,248.49,249.01,247.77,248.4,64784736,2995794081765
2015-02-12,248.48,248.5,246.32,247.71,66380496,3004184281552
2015-02-13,248.65,249.76,248.26,249.76,63130742,2611895344334
2015-02-16,250.17,250.55,249.54,249.81,52102868,2223546843472
2015-02-17,249.36,250.67,248.92,250.37,55683001,2356036658257
2015-02-23,252.13,252.51,250.56,250.8,58970802,2958136839887
2015-02-24,251.83,252.11,251.09,251.28,61664090,2852773554835
2015-02-25,252.72,253.22,252.01,252.96,79616142,3391037102918
2015-02-26,253.03,253.13,251.89,252.93,79376042,3518726297162
2015-02-27,252.73,252.83,251.2,251.46,80294087,3844901072288
2015-03-02,253.13,253.74,252.39,253.65,92832492,4204664652629
2015-03-03,254.55,254.97,253.89,254.5,87501070,3960096569533
2015-03-04,254.56,254.72,253.89,254.31,72310858,3398683315539
2015-03-05,254.02,254.86,253.64,254.16,58424708,2666420308045
2015-03-06,254.74,256.15,254.73,255.96,83128515,3492983333854
2015-03-09,254.81,254.94,252.69,252.77,65398824,2858040932870
2015-03-10,253.76,254.16,251.75,251.75,76302693,3304261079788
2015-03-11,250.09,252.66,250.09,252.16,79665718,4204233285969
2015-03-12,251.67,253.23,250.28,250.28,98652771,4686739593495
2015-03-13,252.56,253.31,251.98,252.18,66614932,3255251169759
2015-03-16,252.13,253.2,251.56,252.44,72869701,3488698975102
2015-03-17,253.77,258.19,253.7,258.18,85121839,4053505254772
2015-03-18,258.45,259.19,257.87,258.22,85366887,4154638733755
2015-03-19,260.68,260.68,258.37,258.99,120601717,4415867038200
2015-03-20,258.92,259.32,257.42,258.7,81297758,3906745907549
2015-03-23,259.48,259.88,258.16,258.95,84485852,3549302093627
2015-03-24,258.58,259.34,257.56,259.16,71439763,3353696061488
2015-03-25,259.35,259.84,258.38,258.94,84764664,3635072365127
2015-03-26,256.69,258.08,255.81,255.99,78163874,3748424562301
2015-03-27,256.41,256.73,255.1,255.54,72668968,3470210155534
2015-03-30,256.45,256.57,254.91,256.1,68984635,2916293064855
2015-03-31,257.66,258.43,256.16,257.28,83462334,3533700211685
2015-04-01,256.44,256.75,254.74,254.97,83087175,3571906611435
2015-04-02,256.07,256.37,254.7,254.99,76748078,3857806630219
2015-04-03,255.77,256.92,255.05,256.75,67526315,2672514985115
