iem_cd,iem_krl_nm,btp_cfc_cd,mkt_pr_tal_scl_tp_cd,stk_dit_cd
A000020,동화약품,08,02,99
A000080,하이트진로,14,02,01
A000180,성창기업지주,05,03,99
A000227,유유제약2우B,08,99,99
A000325,노루홀딩스우,02,99,99
A000440,중앙에너비스,07,03,99
A000590,CS홀딩스,02,03,99
A000670,영풍,11,02,01
A000700,유수홀딩스,05,03,99
A001000,신라섬유,07,03,99
A001020,페이퍼코리아,10,03,99
A001070,대한방직,14,03,99
A001270,부국증권,02,03,99
A001290,상상인증권,02,03,99
A001390,KG케미칼,12,03,99
A001450,현대해상,02,02,01
A001460,BYC,14,03,99
A001465,BYC우,14,99,99
A001470,삼부토건,01,02,99
A001525,동양우,11,99,99
A001780,알루코,11,03,99
A001790,대한제당,14,03,99
A001799,대한제당3우B,14,99,99
A001800,오리온홀딩스,02,02,01
A001810,무림SP,10,03,99
A002030,아세아,05,03,99
A002070,비비안,14,03,99
A002170,삼양통상,14,03,99
A002230,피에스텍,10,03,99
A002290,삼일기업공사,01,03,99
A002300,한국제지,14,03,99
A002310,아세아제지,10,03,99
A002360,SH에너지화학,12,03,99
A002420,세기상사,05,03,99
A002460,화성산업,01,03,99
A002550,KB손해보험,14,02,99
A002710,TCC스틸,11,03,99
A002790,아모레G,12,01,01
A002840,미원상사,12,02,99
A002900,TYM,03,03,99
A002990,금호건설,01,03,99
A003010,혜인,07,03,99
A003075,코오롱글로벌우,01,99,99
A003220,대원제약,08,03,99
A003480,한진중공업홀딩스,09,03,99
A003530,한화투자증권,02,02,99
A003535,한화투자증권우,02,99,99
A003547,대신증권2우B,02,99,99
A003560,IHQ,05,03,99
A003580,넥스트사이언스,14,03,99
A003650,미창석유,12,03,99
A003670,포스코케미칼,11,01,01
A003680,한성기업,14,03,99
A003780,진양산업,12,03,99
A003800,에이스침대,10,02,99
A004080,신흥,07,03,99
A004200,고려개발,14,03,99
A004255,NPC우,12,99,99
A004365,세방우,06,99,99
A004410,서울식품,14,03,99
A004430,송원산업,12,03,99
A004490,세방전지,09,02,01
A004540,깨끗한나라,10,03,99
A004545,깨끗한나라우,10,99,99
A004650,창해에탄올,10,03,99
A004830,덕성,12,03,99
A004840,DRB동일,02,03,99
A004890,동일산업,11,03,99
A004910,조광페인트,12,03,99
A004980,성신양회,11,03,99
A004985,성신양회우,11,99,99
A004987,성신양회2우B,14,99,99
A005180,빙그레,14,02,99
A005257,녹십자홀딩스2우,05,99,99
A005305,롯데칠성우,14,99,99
A005320,국동,07,03,99
A005387,현대차2우B,06,99,99
A005670,푸드웰,10,03,99
A005680,삼영전자,09,03,99
A005690,파미셀,08,02,99
A005720,넥센,12,03,99
A005740,크라운해태홀딩스,02,03,99
A005800,신영와코루,14,03,99
A005870,휴니드,09,03,99
A005990,매일홀딩스,10,03,99
A006040,동원산업,14,02,01
A006050,국영지앤엠,10,03,99
A006060,화승인더,12,03,99
A006090,사조오양,14,03,99
A006120,SK디스커버리,02,02,01
A006140,피제이전자,10,03,99
A006260,LS,02,02,01
A006280,녹십자,08,01,01
A006370,대구백화점,07,03,99
A006390,한일현대시멘트,11,02,99
A006580,대양제지,10,03,99
A006620,동구바이오제약,10,02,99
A006650,대한유화,12,02,01
A006740,영풍제지,10,03,99
A00680K,미래에셋증권2우B,02,99,99
A007110,일신석재,07,03,99
A007190,한솔아트원제지,14,03,99
A007540,샘표,02,03,99
A007590,동방아그로,12,03,99
A007700,F&F홀딩스,14,02,01
A007770,한일화학,10,03,99
A007810,코리아써키트,09,03,99
A007820,에스엠코어,10,03,99
A007860,서연,02,03,99
A008000,도레이케미칼,14,02,99
A008040,사조동아원,14,03,99
A008290,원풍물산,10,03,99
A008370,원풍,10,03,99
A008470,부스타,10,03,99
A008600,윌비스,07,03,99
A008770,호텔신라,07,01,01
A008775,호텔신라우,07,99,99
A008800,행남사,10,03,99
A008830,대동기어,10,03,99
A008970,동양철관,11,03,99
A009150,삼성전기,09,01,01
A009155,삼성전기우,09,99,99
A009290,광동제약,08,02,99
A009320,대우부품,06,03,99
A009410,태영건설,01,02,99
A009460,한창제지,10,03,99
A009780,엠에스씨,10,03,99
A009830,한화솔루션,12,01,01
A009900,명신산업,06,99,99
A010060,OCI,12,02,01
A010620,현대미포조선,06,02,01
A010770,평화홀딩스,06,03,99
A010960,삼호개발,01,03,99
A011070,LG이노텍,09,01,01
A011090,에넥스,14,03,99
A011150,CJ씨푸드,14,03,99
A011155,CJ씨푸드1우,14,99,99
A011170,롯데케미칼,12,01,01
A011230,삼화전자,09,03,99
A011280,태림포장,10,03,99
A011370,서한,01,03,99
A011560,세보엠이씨,01,03,99
A011690,와이투솔루션,09,03,99
A012030,DB,05,03,99
A012170,아센디오,05,03,99
A012280,영화금속,06,03,99
A012340,뉴인텍,13,03,99
A012600,센트럴인사이트,03,03,99
A012620,원일특강,10,03,99
A012750,에스원,05,01,01
A013000,세우글로벌,07,03,99
A013310,아진산업,10,03,99
A013520,화승코퍼레이션,06,03,99
A013720,CBI,10,03,99
A013810,스페코,10,03,99
A013870,지엠비코리아,06,03,99
A014915,성문전자우,09,99,99
A014970,삼륭물산,10,03,99
A015020,이스타코,05,03,99
A015350,부산가스,09,02,99
A015540,쎌마테라퓨틱스,05,03,99
A016250,SGC이테크건설,01,03,99
A016360,삼성증권,02,01,01
A016385,KG동부제철우,11,99,99
A016600,큐캐피탈,02,03,99
A016710,대성홀딩스,05,03,99
A016790,현대사료,10,03,99
A016800,퍼시스,14,03,99
A017000,신원종합개발,01,03,99
A017370,우신시스템,03,03,99
A017550,수산중공업,03,03,99
A017670,SK텔레콤,04,01,01
A017960,한국카본,03,02,99
A018120,진로발효,10,03,99
A018620,우진비앤지,10,03,99
A019175,신풍제약우,08,99,99
A019490,하이트론,09,03,99
A019570,리더스 기술투자,02,03,99
A019660,글로본,07,03,99
A020120,키다리스튜디오,05,03,99
A020560,아시아나항공,06,02,01
A021240,코웨이,05,01,01
A023760,한국캐피탈,02,03,99
A023790,동일철강,10,03,99
A024900,덕양산업,06,03,99
A024940,PN풍년,10,03,99
A025000,KPX케미칼,12,03,99
A025620,제이준코스메틱,12,03,99
A025750,한솔홈데코,10,03,99
A025860,남해화학,12,03,99
A025880,케이씨피드,10,03,99
A027390,한화갤러리아타임월드,14,03,99
A027580,상보,10,03,99
A027830,대성창투,02,03,99
A028670,팬오션,06,02,01
A029460,케이씨,08,03,99
A029530,신도리코,09,03,99
A030350,드래곤플라이,13,03,99
A031440,신세계푸드,05,03,99
A031510,오스템,10,03,99
A031820,콤텍시스템,05,03,99
A032350,롯데관광개발,05,02,01
A032560,황금에스티,11,03,99
A032580,피델릭스,13,03,99
A032620,유비케어,13,02,99
A032680,소프트센,07,03,99
A032685,소프트센우,07,99,99
A032830,삼성생명,02,01,01
A032850,비트컴퓨터,13,03,99
A033050,제이엠아이,10,03,99
A033110,코너스톤네트웍스,07,03,99
A033160,엠케이전자,13,02,99
A033170,시그네틱스,13,03,99
A033200,모아텍,13,03,99
A033240,자화전자,09,03,99
A033320,제이씨현시스템,07,03,99
A033340,좋은사람들,10,03,99
A033600,럭슬,10,03,99
A033830,티비씨,04,03,99
A035080,인터파크,07,02,99
A035890,서희건설,01,02,99
A036200,유니셈,13,02,99
A036500,에스에스컴텍,14,03,99
A036670,KCI,10,03,99
A036810,에프에스티,13,02,02
A037350,성도이엔지,05,03,99
A038110,에코플라스틱,10,03,99
A038950,파인디지털,13,03,99
A039010,현대에이치티,13,03,99
A039020,이건홀딩스,10,03,99
A039310,세중,05,03,99
A039340,한국경제TV,04,03,99
A039560,다산네트웍스,13,02,99
A039570,HDC아이콘트롤스,01,03,99
A039830,오로라,05,03,99
A039860,나노엔텍,10,02,99
A040300,YTN,04,03,99
A040350,큐로컴,13,03,99
A040420,정상제이엘에스,05,03,99
A041830,인바디,10,02,99
A042370,비츠로테크,02,02,99
A042520,한스바이오메드,10,03,99
A043220,에이치엘비파워,10,03,99
A043370,피에이치에이,10,03,99
A043610,지니뮤직,13,02,99
A043910,자연과환경,05,03,99
A044180,KD,01,03,99
A044450,KSS해운,06,03,99
A045300,성우테크론,13,03,99
A046110,한일네트웍스,13,03,99
A046120,오르비텍,05,03,99
A046310,백금T&A,13,03,99
A046390,삼화네트웍스,05,03,99
A047080,한빛소프트,13,03,99
A047310,파워로직스,13,02,99
A047400,유니온머티리얼,11,03,99
A047440,디케이씨,14,03,99
A047770,코데즈컴바인,10,03,99
A047810,한국항공우주,06,01,01
A047920,에이치엘비제약,05,02,99
A048470,대동스틸,10,03,99
A049180,셀루메드,10,03,99
A049470,SGA,13,03,99
A049520,유아이엘,13,03,99
A049550,잉크테크,10,03,99
A049830,승일,10,03,99
A050110,캠시스,13,03,99
A050540,한국코퍼레이션,05,03,99
A051360,토비스,13,03,99
A051500,CJ프레시웨이,07,02,99
A051900,LG생활건강,12,01,01
A052460,아이크래프트,13,03,99
A052690,한전기술,05,02,01
A053050,지에스이,14,03,99
A053060,세동,10,03,99
A053080,원방테크,10,03,99
A053610,프로텍,13,02,99
A053620,태양,10,03,99
A053700,삼보모터스,10,03,99
A054410,케이피티유,10,03,99
A054450,텔레칩스,13,03,99
A054780,키이스트,05,02,99
A054940,엑사이엔씨,01,03,99
A054950,제이브이엠,10,02,99
A056000,COWON,13,03,99
A056190,에스에프에이,10,01,02
A057680,티사이언티픽,13,03,99
A058400,KNN,04,02,99
A058420,제이웨이,05,03,99
A058610,에스피지,13,03,99
A059120,아진엑스텍,13,03,99
