"시도별(1)","시도별(2)",품목별(1),2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09
"전국","소계",총지수,107.39,107.46,107.39,107.61,108.29,108.83
"전국","서울특별시",총지수,107.34,107.37,107.25,107.45,108.09,108.59
"전국","부산광역시",총지수,107.60,107.57,107.33,107.58,108.11,108.96
"전국","대구광역시",총지수,107.92,107.95,107.85,108.06,108.87,109.50
"전국","인천광역시",총지수,107.51,107.57,107.54,107.72,108.39,109.06
"전국","광주광역시",총지수,107.13,107.32,107.18,107.38,107.99,108.49
"전국","대전광역시",총지수,106.83,106.77,106.77,107.03,107.52,107.92
"전국","울산광역시",총지수,105.85,106.00,105.89,106.14,106.93,107.51
"전국","경기도",총지수,107.63,107.72,107.73,107.92,108.66,109.15
"전국","강원도",총지수,108.23,108.26,108.25,108.44,109.22,109.82
"전국","충청북도",총지수,107.40,107.48,107.50,107.64,108.34,108.59
"전국","충청남도",총지수,106.92,107.00,107.00,107.16,107.79,108.26
"전국","전라북도",총지수,107.37,107.39,107.35,107.67,108.38,109.13
"전국","전라남도",총지수,108.01,108.16,108.12,108.43,109.02,109.55
"전국","경상북도",총지수,106.27,106.41,106.41,106.66,107.35,107.95
"전국","경상남도",총지수,106.92,106.98,106.81,106.96,107.62,108.20
"전국","제주특별자치도",총지수,108.81,108.97,108.69,109.04,109.68,110.33
