custid,gender
3500,0.4
3501,0.25
3502,0.17
3503,0.62
3504,0.45
3505,0.46
3506,0.35
3507,0.68
3508,0.1
3509,0.3
3510,0.18
3511,0.32
3512,0.28
3513,0.12
3514,0.54
3515,0.26
3516,0.26
3517,0.31
3518,0.51
3519,0.47
3520,0.38
3521,0.36
3522,0.85
3523,0.08
3524,0.27
3525,0.37
3526,0.09
3527,0.64
3528,0.71
3529,0.47
3530,0.4
3531,0.66
3532,0.31
3533,0.29
3534,0.26
3535,0.52
3536,0.56
3537,0.46
3538,0.48
3539,0.67
3540,0.25
3541,0.44
3542,0.39
3543,0.55
3544,0.57
3545,0.33
3546,0.18
3547,0.03
3548,0.37
3549,0.21
3550,0.52
3551,0.61
3552,0.42
3553,0.47
3554,0.46
3555,0.27
3556,0.65
3557,0.31
3558,0.38
3559,0.37
3560,0.4
3561,0.19
3562,0.38
3563,0.32
3564,0.37
3565,0.23
3566,0.14
3567,0.61
3568,0.29
3569,0.48
3570,0.07
3571,0.28
3572,0.81
3573,0.43
3574,0.39
3575,0.84
3576,0.53
3577,0.25
3578,0.41
3579,0.04
3580,0.29
3581,0.49
3582,0.62
3583,0.7
3584,0.47
3585,0.17
3586,0.36
3587,0.27
3588,0.31
3589,0.28
3590,0.47
3591,0.39
3592,0.32
3593,0.68
3594,0.21
3595,0.6
3596,0.3
3597,0.56
3598,0.28
3599,0.44
3600,0.53
3601,0.18
3602,0.59
3603,0.27
3604,0.44
3605,0.28
3606,0.32
3607,0.24
3608,0.42
3609,0.46
3610,0.59
3611,0.55
3612,0.95
3613,0.23
3614,0.53
3615,0.14
3616,0.41
3617,0.87
3618,0.3
3619,0.15
3620,0.52
3621,0.33
3622,0.38
3623,0.55
3624,0.3
3625,0.41
3626,0.27
3627,0.12
3628,0.63
3629,0.25
3630,0.25
3631,0.72
3632,0.45
3633,0.38
3634,0.41
3635,0.44
3636,0.54
3637,0.5
3638,0.33
3639,0.47
3640,0.5
3641,0.13
3642,0.68
3643,0.22
3644,0.3
3645,0.51
3646,0.21
3647,0.31
3648,0.65
3649,0.45
3650,0.19
3651,0.41
3652,0.29
3653,0.37
3654,0.31
3655,0.44
3656,0.48
3657,0.29
3658,0.08
3659,0.16
3660,0.23
3661,0.47
3662,0.2
3663,0.48
3664,0.53
3665,0.63
3666,0.82
3667,0.33
3668,0.35
3669,0.41
3670,0.37
3671,0.45
3672,0.16
3673,0.44
3674,0.65
3675,0.8
3676,0.14
3677,0.43
3678,0.17
3679,0.46
3680,0.38
3681,0.78
3682,0.36
3683,0.14
3684,0.44
3685,0.35
3686,0.19
3687,0.5
3688,0.43
3689,0.4
3690,0.46
3691,0.13
3692,0.3
3693,0.36
3694,0.24
3695,0.7
3696,0.47
3697,0.32
3698,0.34
3699,0.56
3700,0.34
3701,0.5
3702,0.29
3703,0.33
3704,0.32
3705,0.6
3706,0.38
3707,0.23
3708,0.16
3709,0.19
3710,0.18
3711,0.2
3712,0.64
3713,0.2
3714,0.65
3715,0.32
3716,0.34
3717,0.53
3718,0.04
3719,0.26
3720,0.61
3721,0.43
3722,0.32
3723,0.38
3724,0.28
3725,0.28
3726,0.77
3727,0.31
3728,0.61
3729,0.43
3730,0.39
3731,0.32
3732,0.46
3733,0.64
3734,0.18
3735,0.36
3736,0.4
3737,0.5
3738,0.2
3739,0.62
3740,0.4
3741,0.46
3742,0.34
3743,0.29
3744,0.37
3745,0.25
3746,0.28
3747,0.11
3748,0.15
3749,0.7
3750,0.34
3751,0.22
3752,0.15
3753,0.4
3754,0.27
3755,0.79
3756,0.74
3757,0.55
3758,0.53
3759,0.46
3760,0.14
3761,0.29
3762,0.32
3763,0.17
3764,0.21
3765,0.14
3766,0.4
3767,0.43
3768,0.11
3769,0.14
3770,0.71
3771,0.29
3772,0.55
3773,0.49
3774,0.4
3775,0.68
3776,0.8
3777,0.45
3778,0.33
3779,0.26
3780,0.52
3781,0.45
3782,0.51
3783,0.27
3784,0.19
3785,0.58
3786,0.27
3787,0.49
3788,0.5
3789,0.23
3790,0.06
3791,0.35
3792,0.61
3793,0.59
3794,0.25
3795,0.48
3796,0.11
3797,0.45
3798,0.38
3799,0.62
3800,0.05
3801,0.02
3802,0.15
3803,0.13
3804,0.49
3805,0.34
3806,0.42
3807,0.27
3808,0.58
3809,0.28
3810,0.49
3811,0.44
3812,0.58
3813,0.7
3814,0.36
3815,0.76
3816,0.45
3817,0.22
3818,0.59
3819,0.14
3820,0.56
3821,0.43
3822,0.11
3823,0.4
3824,0.28
3825,0.85
3826,0.23
3827,0.31
3828,0.36
3829,0.32
3830,0.87
3831,0.1
3832,0.31
3833,0.05
3834,0.28
3835,0.22
3836,0.16
3837,0.28
3838,0.59
3839,0.7
3840,0.34
3841,0.1
3842,0.28
3843,0.25
3844,0.38
3845,0.1
3846,0.37
3847,0.32
3848,0.27
3849,0.92
3850,0.35
3851,0.2
3852,0.47
3853,0.43
3854,0.43
3855,0.06
3856,0.44
3857,0.06
3858,0.42
3859,0.54
3860,0.79
3861,0.3
3862,0.21
3863,0.56
3864,0.56
3865,0.61
3866,0.5
3867,0.55
3868,0.53
3869,0.48
3870,0.35
3871,0.42
3872,0.45
3873,0.38
3874,0.52
3875,0.1
3876,0.27
3877,0.22
3878,0.58
3879,0.39
3880,0.68
3881,0.07
3882,0.17
3883,0.47
3884,0.33
3885,0.39
3886,0.71
3887,0.29
3888,0.29
3889,0.16
3890,0.53
3891,0.27
3892,0.29
3893,0.26
3894,0.21
3895,0.07
3896,0.36
3897,0.29
3898,0.63
3899,0.24
3900,0.63
3901,0.58
3902,0.2
3903,0.39
3904,0.4
3905,0.31
3906,0.52
3907,0.13
3908,0.19
3909,0.62
3910,0.2
3911,0.08
3912,0.74
3913,0.49
3914,0.26
3915,0.18
3916,0.18
3917,0.66
3918,0.52
3919,0.14
3920,0.34
3921,0.32
3922,0.38
3923,0.21
3924,0.28
3925,0.17
3926,0.42
3927,0.15
3928,0.43
3929,0.56
3930,0.31
3931,0.13
3932,0.51
3933,0.29
3934,0.1
3935,0.29
3936,0.07
3937,0.13
3938,0.51
3939,0.13
3940,0.58
3941,0.39
3942,0.28
3943,0.26
3944,0.14
3945,0.26
3946,0.47
3947,0.1
3948,0.42
3949,0.61
3950,0.41
