"행정구역","2011년08월_남_총인구수","2011년08월_남_연령구간인구수","2011년08월_남_0~4세","2011년08월_남_5~9세","2011년08월_남_10~14세","2011년08월_남_15~19세","2011년08월_남_20~24세","2011년08월_남_25~29세","2011년08월_남_30~34세","2011년08월_남_35~39세","2011년08월_남_40~44세","2011년08월_남_45~49세","2011년08월_남_50~54세","2011년08월_남_55~59세","2011년08월_남_60~64세","2011년08월_남_65~69세","2011년08월_남_70~74세","2011년08월_남_75~79세","2011년08월_남_80~84세","2011년08월_남_85~89세","2011년08월_남_90~94세","2011년08월_남_95~99세","2011년08월_남_100세 이상","2011년08월_여_총인구수","2011년08월_여_연령구간인구수","2011년08월_여_0~4세","2011년08월_여_5~9세","2011년08월_여_10~14세","2011년08월_여_15~19세","2011년08월_여_20~24세","2011년08월_여_25~29세","2011년08월_여_30~34세","2011년08월_여_35~39세","2011년08월_여_40~44세","2011년08월_여_45~49세","2011년08월_여_50~54세","2011년08월_여_55~59세","2011년08월_여_60~64세","2011년08월_여_65~69세","2011년08월_여_70~74세","2011년08월_여_75~79세","2011년08월_여_80~84세","2011년08월_여_85~89세","2011년08월_여_90~94세","2011년08월_여_95~99세","2011년08월_여_100세 이상"
"전국  (0000000000)","25,375,626","25,375,626","1,195,951","1,233,465","1,663,534","1,890,498","1,667,705","1,844,651","2,048,038","2,178,901","2,335,456","2,165,327","2,169,808","1,556,649","1,129,517","883,074","701,439","419,877","186,554","75,904","22,020","4,651","2,607","25,287,113","25,287,113","1,125,896","1,141,102","1,524,143","1,668,412","1,506,676","1,737,973","1,963,094","2,092,175","2,257,824","2,052,553","2,132,120","1,573,948","1,182,335","1,013,184","914,270","684,870","416,098","202,997","70,111","18,637","8,695"
"서울특별시  (1100000000)","5,089,493","5,089,493","217,685","215,881","290,064","349,753","335,868","435,347","474,347","461,401","459,759","413,538","422,982","326,028","241,501","190,131","134,312","70,398","30,893","13,028","4,530","1,163","884","5,188,014","5,188,014","206,464","202,614","267,567","313,860","332,516","443,742","465,389","443,392","456,192","411,429","449,808","351,421","260,202","203,512","155,548","105,525","65,965","33,779","12,649","3,830","2,610"
"부산광역시  (2600000000)","1,766,803","1,766,803","67,247","70,521","103,201","130,774","122,276","130,924","137,943","136,378","148,501","146,523","166,607","134,265","99,030","73,472","53,357","28,437","11,595","4,193","1,083","253","223","1,791,569","1,791,569","63,778","65,415","92,033","110,761","109,446","123,502","131,583","132,796","151,565","150,899","176,745","139,838","104,284","79,464","66,807","45,992","27,898","12,863","3,911","1,160","829"
"대구광역시  (2700000000)","1,253,113","1,253,113","53,457","60,486","87,835","104,533","92,536","87,201","91,954","101,345","114,981","110,245","108,752","79,070","56,874","41,088","32,096","19,191","7,743","2,811","695","141","79","1,256,966","1,256,966","49,772","54,174","77,471","86,093","73,556","81,479","92,054","104,044","118,642","110,783","110,957","83,411","61,573","48,722","43,468","31,322","17,832","8,040","2,614","673","286"
"인천광역시  (2800000000)","1,404,018","1,404,018","67,804","68,076","92,181","108,898","96,556","103,719","115,921","123,049","132,100","129,860","127,862","82,671","55,144","40,766","29,438","17,142","7,858","3,495","1,144","214","120","1,382,699","1,382,699","64,017","64,052","85,264","99,003","89,670","98,137","109,521","117,373","130,620","124,520","120,547","79,360","55,068","45,292","39,144","29,291","18,551","9,106","3,067","774","322"
"광주광역시  (2900000000)","725,330","725,330","37,567","41,500","58,260","62,622","50,032","53,659","58,219","62,627","66,485","59,041","55,016","36,886","29,171","22,248","16,178","9,311","4,368","1,659","370","79","32","737,585","737,585","35,047","38,141","53,855","57,150","46,752","52,050","58,499","63,251","66,496","58,531","57,082","38,786","31,959","25,325","21,646","15,544","9,995","4,911","1,856","485","224"
"대전광역시  (3000000000)","757,313","757,313","38,161","40,882","54,319","61,238","54,103","56,412","60,909","65,993","70,368","62,761","63,014","43,968","29,954","22,122","16,298","9,778","4,460","1,868","541","121","43","754,218","754,218","35,893","37,653","50,000","53,945","48,019","53,899","61,089","65,385","70,876","61,535","63,086","43,820","30,466","24,762","21,010","16,057","9,744","4,811","1,574","440","154"
"울산광역시  (3100000000)","582,076","582,076","29,531","29,577","42,527","50,336","41,119","40,754","46,909","47,797","55,199","55,637","52,531","35,331","22,763","14,287","9,630","5,108","2,074","694","215","46","11","549,903","549,903","27,250","26,447","37,576","41,078","32,995","36,526","43,282","47,737","56,336","50,733","49,411","32,806","20,797","14,979","12,588","9,233","5,890","3,027","912","224","76"
"경기도  (4100000000)","5,993,230","5,993,230","320,736","328,217","420,012","453,838","378,732","421,375","499,006","559,203","597,301","538,898","502,309","324,032","214,159","168,127","132,474","78,845","34,952","14,856","4,641","965","552","5,894,702","5,894,702","303,028","306,745","390,089","409,995","355,271","400,969","488,192","546,446","578,581","495,680","464,897","313,091","223,646","194,174","169,861","124,177","74,856","37,239","12,874","3,398","1,493"
"강원도  (4200000000)","771,292","771,292","32,459","36,398","49,894","54,576","51,649","49,364","51,210","59,390","67,903","64,741","71,616","52,878","34,621","34,326","30,839","16,486","7,587","3,807","1,148","258","142","761,880","761,880","30,575","33,423","45,742","48,665","41,462","41,416","48,116","55,351","61,688","60,238","69,557","52,260","37,294","40,055","38,472","27,161","17,456","8,822","3,101","746","280"
