날짜,시가,고가,저가,종가,거래량,종목명,종목코드
2020-12-01,2140,2140,2105,2105,131159,3S,060310
2020-12-01,4560,4560,4445,4460,208335,AJ네트웍스,095570
2020-12-01,21050,22250,20950,21900,95026,AK홀딩스,006840
2020-12-01,7090,7110,7010,7050,16966,AP위성,211270
2020-12-01,4640,4705,4595,4635,178849,BGF,027410
2020-12-01,126500,126500,125000,126000,24477,BGF리테일,282330
2020-12-01,5690,5750,5660,5720,4614160,BNK금융지주,138930
2020-12-01,293500,298000,288000,294500,1405,BYC,001460
2020-12-01,140000,140500,139000,140000,273,BYC우,001465
2020-12-01,60600,61400,60400,61200,22309,CJ4우(전환),00104K
2020-12-01,166000,166000,164000,164500,49589,CJ대한통운,000120
2020-12-01,45300,45700,45300,45600,1201,CJ씨푸드1우,011155
2020-12-01,50500,50700,50000,50500,3978,CJ우,001045
2020-12-01,162000,162500,160500,161500,5349,CJ제일제당 우,097955
2020-12-01,19050,19300,18950,19150,82902,CJ프레시웨이,051500
2020-12-01,0,0,0,1550,0,CNT85,056730
2020-12-01,2200,2270,2185,2230,122725,COWON,056000
2020-12-01,2470,2530,2460,2470,27101,CS,065770
2020-12-01,55900,56600,55300,56500,1611,CS홀딩스,000590
2020-12-01,735,740,718,723,915149,DB,012030
2020-12-01,4640,4740,4625,4730,166181,DB금융투자,016610
2020-12-01,44450,44650,44000,44150,205166,DB손해보험,005830
2020-12-01,115000,117000,114500,116500,2254,DB하이텍1우,000995
2020-12-01,84753,86521,84753,85637,11920,DI동일,001530
2020-12-01,27850,28450,27750,28200,89711,DL건설,001880
2020-12-01,40288,41061,39987,41018,23634,DL우,000215
2020-12-01,8600,8770,8600,8700,167637,DMS,068790
2020-12-01,6870,6910,6800,6860,26551,DRB동일,004840
2020-12-01,5570,5660,5470,5640,90326,DSR,155660
2020-12-01,45700,46150,45500,45900,8584,E1,017940
2020-12-01,0,0,0,3105,0,EMW,079190
2020-12-01,42700,43900,42700,43700,97161,F&F홀딩스,007700
2020-12-01,15250,16000,15200,15950,699198,GKL,114090
2020-12-01,35500,36900,35450,36700,520788,GS,078930
2020-12-01,33950,34050,33800,33900,233164,GS리테일,007070
2020-12-01,31150,31300,31000,31250,5719,GS우,078935
2020-12-01,137200,138900,137200,137800,14727,GS홈쇼핑,028150
2020-12-01,15950,15950,15700,15800,18971,HB솔루션,297890
2020-12-01,4000,4050,3945,4010,172932,HRS,036640
2020-12-01,2115,2115,2065,2115,3296,IBKS제12호스팩,335870
2020-12-01,2095,2095,2095,2095,10,IBKS제13호스팩,351340
2020-12-01,2903,2903,2896,2896,322,IBKS제14호스팩,351320
2020-12-01,19800,20050,19350,19400,179060,ISC,095340
2020-12-01,5520,5680,5520,5630,516278,JB금융지주,175330
2020-12-01,19300,19400,19100,19350,70449,JW생명과학,234080
2020-12-01,58126,58126,56765,56960,323,JW중외제약2우B,001067
2020-12-01,5610,5658,5551,5630,299749,JW홀딩스,096760
2020-12-01,38000,39700,37050,39350,996278,JYP Ent.,035900
2020-12-01,1785,1795,1740,1780,272846,KBI메탈,024840
2020-12-01,7105,7135,7055,7110,1466,KBSTAR KRX300선물인버스,307020
2020-12-01,9885,9890,9820,9855,40,KBSTAR 중소형모멘텀로우볼,300280
2020-12-01,10740,10790,10710,10730,105,KBSTAR 중소형모멘텀밸류,300290
2020-12-01,45750,46700,45650,45900,2394959,KB금융,105560
2020-12-01,6350,6370,6270,6300,12558,KB오토시스,024120
2020-12-01,37100,37650,36650,37400,63785,KCC글라스,344820
2020-12-01,10250,10300,10200,10300,44956,KCI,036670
2020-12-01,3890,3970,3825,3945,845067,KCTC,009070
2020-12-01,5020,5050,4980,5020,111068,KC그린홀딩스,009440
2020-12-01,1268,1295,1263,1286,159542,KD,044180
2020-12-01,8950,11350,8900,11350,6219710,KG동부제철,016380
2020-12-01,128000,155000,128000,148000,13441,KG동부제철우,016385
2020-12-01,14000,14200,13900,14000,15011,KISCO홀딩스,001940
2020-12-01,1735,1760,1720,1735,820450,KMH하이텍,052900
2020-12-01,2380,2405,2250,2255,8714036,KNN,058400
2020-12-01,10050,10050,9990,9995,2083,KODEX China H선물인버스(H),291660
2020-12-01,13805,13895,13805,13880,51,KOSEF 배당바이백Plus,260200
2020-12-01,53300,53700,52700,53500,17774,KPX케미칼,025000
2020-12-01,64400,64600,63000,63500,26865,KPX홀딩스,092230
2020-12-01,10450,10450,10300,10450,115514,KSS해운,044450
2020-12-01,3080,3230,3080,3220,430892,KTB투자증권,030210
2020-12-01,5810,6120,5790,5940,746960,KT서브마린,060370
2020-12-01,14650,15100,14650,14850,150900,LF,093050
2020-12-01,67732,68866,67732,68583,466949,LG,003550
2020-12-01,1534000,1538000,1515000,1538000,19516,LG생활건강,051900
2020-12-01,696000,700000,694000,700000,6803,LG생활건강우,051905
2020-12-01,40351,40718,40058,40278,22671,LG우,003555
2020-12-01,2240,2260,2210,2240,70606,LS네트웍스,000680
2020-12-01,47400,48150,46250,48100,273743,LX세미콘,108320
2020-12-01,76300,76500,72100,73100,125121,LX하우시스,108670
2020-12-01,30850,30850,30100,30600,11637,LX하우시스우,108675
2020-12-01,2970,2995,2910,2920,87257,NE능률,053290
2020-12-01,5560,5570,5430,5540,40707,NHN벅스,104200
2020-12-01,8930,9070,8920,9020,104736,NH투자증권우,005945
2020-12-01,19500,19600,19250,19500,42046,NICE,034310
2020-12-01,21500,22200,21050,21050,242675,NICE평가정보,030190
2020-12-01,2380,2885,2380,2590,20760745,NI스틸,008260
2020-12-01,3125,3175,3115,3150,66518,NPC,004250
2020-12-01,2260,2280,2260,2280,6354,NPC우,004255
2020-12-01,3970,4030,3850,3965,132427,PN풍년,024940
2020-12-01,36880,37319,36343,36929,184785,RFHIC,218410
2020-12-01,18800,19050,18650,19050,14267,RF머트리얼즈,327260
2020-12-01,4895,4935,4875,4930,32713,S&K폴리텍,091340
2020-12-01,37700,38050,37150,37600,18709,S-Oil우,010955
2020-12-01,19850,19850,19450,19750,99564,SBS,034120
2020-12-01,1810,1810,1790,1795,55058,SBS미디어홀딩스,101060
2020-12-01,4910,4970,4805,4825,937780,SCI평가정보,036120
2020-12-01,1855,1875,1845,1845,71071,SG,255220
2020-12-01,1630,1635,1610,1630,56623,SG&G,040610
2020-12-01,708,708,677,679,255020,SGA,049470
2020-12-01,36350,36350,35200,35400,71442,SGC에너지,005090
2020-12-01,665,684,632,638,4982480,SG세계물산,004060
2020-12-01,840,844,833,836,449537,SH에너지화학,002360
